article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
304692003,304692,Mohair 2p Kneehigh,302,Socks,Socks & Tights,1010016,Solid,7,Grey,2,Medium Dusty,12,Grey,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Knee socks in a soft rib knit containing some mohair.
304786007,304786,Traditional 2p Heavy Socks,302,Socks,Socks & Tights,1010001,All over pattern,11,Off White,1,Dusty Light,9,White,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Socks in a soft, fine knit containing some wool and glittery threads."
304786008,304786,Traditional 2p Heavy Socks,302,Socks,Socks & Tights,1010001,All over pattern,8,Dark Grey,4,Dark,12,Grey,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Socks in a soft, fine knit containing some wool and glittery threads."
305931001,305931,Fake 1p Leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Leggings in imitation leather with an elasticated waist.
308154005,308154,LS Body with collar,256,Bodysuit,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Long-sleeved bodysuit in soft organic cotton jersey with a ribbed collar and press-studs at the top and crotch.
309864002,309864,Skinny Cheapo 89,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8956,Young Boy Denim,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1016,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems."
309864013,309864,Skinny Cheapo 89,272,Trousers,Garment Lower body,1010023,Denim,6,Light Grey,1,Dusty Light,12,Grey,8956,Young Boy Denim,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1016,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems."
312878001,312878,Pablo coat,263,Coat,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5960,Outdoor/Blazers DS,D,Divided,2,Divided,58,Divided Selected,1007,Outdoor,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled."
312878010,312878,Pablo coat,263,Coat,Garment Upper body,1010016,Solid,14,Dark Beige,4,Dark,11,Beige,5960,Outdoor/Blazers DS,D,Divided,2,Divided,58,Divided Selected,1007,Outdoor,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled."
312878010,312878,Pablo coat,263,Coat,Garment Upper body,1010016,Solid,14,Dark Beige,4,Dark,11,Beige,5960,Outdoor/Blazers DS,D,Divided,2,Divided,58,Divided Selected,1007,Outdoor,"Coat in a woven wool blend with a hood and concealed press-studs down the front. Tie belt at the waist, side pockets and a single back vent. Lined. The wool content of the coat is recycled."
318066004,318066,KIMBERLY Braided Headband,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Braided headband in a soft knit.
318066004,318066,KIMBERLY Braided Headband,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Braided headband in a soft knit.
318066004,318066,KIMBERLY Braided Headband,75,Hat/beanie,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Braided headband in a soft knit.
327310002,327310,Alicia wrap skirt,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist."
342034014,342034,Indiana Solid Scarf,80,Scarf,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,3409,Scarves,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm."
342060001,342060,Heavy plain Overknee 1p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Tights that look like a pair of over-the-knee socks with an elasticated waist.
347200001,347200,Bo Dressed Belt,67,Belt,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,7389,Belts,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Leather belt with a metal buckle. Width 3 cm.
349301001,349301,GLASSIG ESPADRILLE,86,Ballerinas,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.
349301001,349301,GLASSIG ESPADRILLE,86,Ballerinas,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.
349301041,349301,GLASSIG ESPADRILLE,86,Ballerinas,Shoes,1010001,All over pattern,11,Off White,1,Dusty Light,9,White,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Espadrilles in cotton with a braided jute trim around the soles and concealed elastic at the back of the heels. Fabric linings and insoles and patterned soles.
351484002,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351484002,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351484002,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351484002,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351484002,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351484026,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010017,Stripe,71,Light Blue,3,Light,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
351933001,351933,Kelly Lace Padded Idro 2p,306,Bra,Underwear,1010016,Solid,10,White,3,Light,9,White,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bras in cotton jersey with lace details and underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back."
351933051,351933,Kelly Lace Padded Idro 2p,306,Bra,Underwear,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Bras in cotton jersey with lace details and underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back."
356289005,356289,JESSY SKIRT,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Short skater skirt in soft fabric. Unlined.
358753005,358753,Basic Ronaldo necklace,77,Necklace,Accessories,1010016,Solid,3,Silver,3,Light,15,Metal,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Thin metal chain necklace with a round metal pendant. Adjustable length, 40-46 cm."
372860001,372860,7p Basic Shaftless,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
372860001,372860,7p Basic Shaftless,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
372860001,372860,7p Basic Shaftless,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
372860002,372860,7p Basic Shaftless,302,Socks,Socks & Tights,1010016,Solid,10,White,3,Light,9,White,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
373506019,373506,Trainer 3p sock,302,Socks,Socks & Tights,1010010,Melange,10,White,3,Light,9,White,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit liner socks designed to be hidden inside your shoes. The socks have a ribbed section in the middle of the foot and elastication around the openings for optimum comfort.
373506023,373506,Trainer 3p sock,302,Socks,Socks & Tights,1010001,All over pattern,13,Beige,1,Dusty Light,11,Beige,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit liner socks designed to be hidden inside your shoes. The socks have a ribbed section in the middle of the foot and elastication around the openings for optimum comfort.
377277001,377277,Svea Cropped Tank,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, fitted jersey top with narrow shoulder straps."
377277001,377277,Svea Cropped Tank,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Short, fitted jersey top with narrow shoulder straps."
378135031,378135,R-Neck Pisa,252,Sweater,Garment Upper body,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem."
378447033,378447,V-Neck Milan,252,Sweater,Garment Upper body,1010003,Argyle,17,Yellowish Brown,2,Medium Dusty,13,Brown,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem."
380609037,380609,Livia Top,255,T-shirt,Garment Upper body,1010001,All over pattern,7,Grey,2,Medium Dusty,-1,Unknown,5962,Jersey Fancy DS,D,Divided,2,Divided,58,Divided Selected,1005,Jersey Fancy,Short-sleeved top in airy jersey with a rounded hem. Longer at the back.
384482009,384482,Godfather SF Chino,272,Trousers,Garment Lower body,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,5631,Trouser,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1009,Trousers,"Chinos in washed stretch cotton twill with an extended waistband, concealed hook-and-eye fastener, side pockets, and welt back pockets with a button. Slim fit."
386463001,386463,Cool Betty earring pk,70,Earring,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Flat, round earrings in various designs. Diameter 1.3 cm."
386859007,386859,R-neck Allington,255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,T-shirt in premium cotton jersey.
396135007,396135,Glamping,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Short shorts in sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems."
396135041,396135,Glamping,274,Shorts,Garment Lower body,1010010,Melange,71,Light Blue,1,Dusty Light,2,Blue,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Short shorts in sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems."
399061008,399061,Jacket Slim,262,Jacket,Garment Upper body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets."
399061015,399061,Jacket Slim,262,Jacket,Garment Upper body,1010023,Denim,9,Black,4,Dark,5,Black,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets."
399061015,399061,Jacket Slim,262,Jacket,Garment Upper body,1010023,Denim,9,Black,4,Dark,5,Black,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets."
399087011,399087,Super Skinny L.W Epic,272,Trousers,Garment Lower body,1010023,Denim,7,Grey,2,Medium Dusty,12,Grey,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs."
399136011,399136,Shaping Skinny R.W,272,Trousers,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,20,Khaki green,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
399136027,399136,Shaping Skinny R.W.,272,Trousers,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
399136060,399136,Shaping Skinny R.W,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
399201022,399201,Shaping Skinny H.W,272,Trousers,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape."
399223024,399223,Jeggings H.W,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs."
399223024,399223,Jeggings H.W,272,Trousers,Garment Lower body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs."
399256002,399256,Skinny Ankle R.W Brooklyn,272,Trousers,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,1779,Everyday Waredrobe Denim,A,Ladieswear,1,Ladieswear,57,Ladies Denim,1016,Trousers Denim,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs."
